movie_result
,Unnamed: 0,Code,Movie,Audience,Open,Screen,watchGradeNm,genres,year,month,Point
254,257,20175441,채비,177428,2017-11-09,1,12세이상관람가,드라마,2017,11,9.01
255,258,20138712,꼭두각시,32628,2013-06-20,1,청소년관람불가,공포(호러),2013,6,5.47
256,259,20161762,반드시 잡는다,446764,2017-11-29,3,15세이상관람가,스릴러,2017,11,8.26
257,260,20168754,7호실,346986,2017-11-15,5,15세이상관람가,코미디,2017,11,6.82
258,261,20172603,부라더,1492049,2017-11-02,8,12세이상관람가,코미디,2017,11,7.68
259,262,20175208,뷰티풀 투모로우,62650,2017-10-26,1,12세이상관람가,드라마,2017,10,9.45
260,263,20173903,역모-반란의 시대,21657,2017-11-23,355,15세이상관람가,사극,2017,11,3.74
261,264,20171817,넛잡 2,410569,2017-10-03,5,전체관람가,애니메이션,2017,10,8.86
262,265,20169643,침묵,493673,2017-11-02,8,15세이상관람가,드라마,2017,11,7.84
263,266,20165450,남한산성,3846769,2017-10-03,20,15세이상관람가,사극,2017,10,8.0
264,267,20171885,노트르담 드 파리,4974,2017-11-01,33,전체관람가,뮤지컬,2017,11,8.72
265,268,20164424,대장 김창수,377071,2017-10-19,51,12세이상관람가,드라마,2017,10,7.95
266,269,20154907,희생부활자,322207,2017-10-12,19,15세이상관람가,미스터리,2017,10,7.32
267,270,20154909,살인자의 기억법,2657557,2017-09-06,20,15세이상관람가,범죄,2017,9,7.87
268,271,20151227,아빠는 딸,647305,2017-04-12,2,12세이상관람가,코미디,2017,4,8.14
269,272,20150964,조작된 도시,2515315,2017-02-09,1,15세이상관람가,범죄,2017,2,8.11
270,273,20151003,장산범,1306387,2017-08-17,5,15세이상관람가,미스터리,2017,8,6.77
271,274,20172964,이웃집 스타,10747,2017-09-21,1,12세이상관람가,코미디,2017,9,5.9
